Time Elapsed (s),Distance Between Both Masses (m),Distance of Star 1 from Barycenter (m),Distance of Star 2 from Barycenter (m),Scalar Velocity of Star 1 (m/s),Scalar Velocity of Star 2 (m/s),Kinetic Energy of Star 1 (J),Kinetic Energy of Star 2 (J),Total Kinetic Energy (J),Gravitational Potential Energy (J),Total Mechanical Energy (J),Acceleration of Star 1 (m/s^2),Acceleration of Star 2 (m/s^2),Relative Acceleration (m/s^2),Angular Velocity of Star 1 (rad/s),Angular Velocity of Star 2 (rad/s)
461376943.02107376,4604239445184.784,3072317020214.4707,1531922424970.314,6890.7108908747505,3435.854590611652,4.722074615042098e+37,2.3545265503431274e+37,7.0766011653852255e+37,-1.1501292324334088e+38,-4.424691158948863e+37,1.2558968107551055e-05,6.26216785307572e-06,1.8821135960626775e-05,2.2428384979599948e-09,2.2428384979599948e-09
470604481.88149524,4636318831713.995,3093722954116.2812,1542595877597.7146,6851.856970099374,3416.4812016865517,4.6689730247036525e+37,2.328048971204704e+37,6.997021995908357e+37,-1.1421713154857221e+38,-4.424691158948863e+37,1.2385774589387922e-05,6.175809891775527e-06,1.8561584481163447e-05,2.2147610085714997e-09,2.2147610085714993e-09
479832020.7419167,4668531286983.172,3115217682130.4575,1553313604852.7148,6813.160803767512,3397.1864724726956,4.616385475723501e+37,2.3018277039894823e+37,6.918213179712983e+37,-1.1342904338661847e+38,-4.424691158948863e+37,1.2215442750479765e-05,6.090878824443282e-06,1.8306321574923046e-05,2.1870576951489565e-09,2.1870576951489565e-09
489059559.6023382,4700863320345.636,3136792202217.923,1564071118127.7134,6774.636576194388,3377.9774755704784,4.564327438544351e+37,2.275870462588296e+37,6.840197901132647e+37,-1.1264889060081512e+38,-4.424691158948863e+37,1.2047987598727063e-05,6.007382134336457e-06,1.805536973306352e-05,2.1597339381946516e-09,2.1597339381946516e-09
498287098.4627597,4733301907501.525,3158437823523.5176,1574864083978.0085,6736.297414796533,3358.860756588194,4.512812549486118e+37,2.250184046359461e+37,6.76299659584558e+37,-1.1187687754794444e+38,-4.424691158948863e+37,1.1883417280880862e-05,5.925323883597903e-06,1.7808741164478765e-05,2.1327940555377456e-09,2.132794055537746e-09
507514637.32318115,4765834480528.176,3180146159723.4688,1585688320804.7078,6698.155442217839,3339.842360133187,4.461852725330783e+37,2.2247743972632062e+37,6.68662712259399e+37,-1.1111318281542851e+38,-4.424691158948863e+37,1.1721733679576392e-05,5.844705010949472e-06,1.7566438690525862e-05,2.1062413819370745e-09,2.1062413819370745e-09
516742176.1836026,4798448917475.788,3201909122082.7905,1596539795392.9983,6660.221827317096,3320.927855235323,4.411458273773119e+37,2.1996466549347535e+37,6.611104928707872e+37,-1.1035796087656735e+38,-4.424691158948863e+37,1.1562932976936663e-05,5.765523612716727e-06,1.732845658965339e-05,2.080078344942135e-09,2.080078344942135e-09
525969715.04402405,4831133531616.493,3223718912281.3975,1607414619335.0964,6622.506834861919,3302.122360125434,4.361637999551497e+37,2.174805209603391e+37,6.536443209154889e+37,-1.0961134368103753e+38,-4.424691158948863e+37,1.1407006185046818e-05,5.6877752073347e-06,1.709478139238152e-05,2.0543065369726137e-09,2.0543065369726137e-09
535197253.9044455,4863877060426.488,3245568015062.105,1618309045364.3838,6585.019873804086,3283.4305663064247,4.312399306133361e+37,2.1502537527950002e+37,6.462653058928362e+37,-1.0887344217877225e+38,-4.424691158948863e+37,1.1253939643858718e-05,5.611452983613685e-06,1.6865392627472403e-05,2.0289267836151264e-09,2.0289267836151264e-09
544424792.7648671,4896668654373.188,3267449190748.5195,1629219463624.6692,6547.769544038132,3264.8567618680986,4.263748292882325e+37,2.1259953257816353e+37,6.38974361866396e+37,-1.0814434777612823e+38,-4.424691158948863e+37,1.1103715487295825e-05,5.536548033149009e-06,1.6640263520444835e-05,2.003939208168114e-09,2.003939208168114e-09
553652331.6252885,4929497865571.976,3289355467675.914,1640142397896.0623,6510.763681568897,3246.404854008658,4.215689847679177e+37,2.102032365764323e+37,6.3177222134435e+37,-1.0742413372392362e+38,-4.424691158948863e+37,1.0956312078497122e-05,5.4630495673428865e-06,1.6419361645840007e-05,1.979343292492818e-09,1.9793432924928183e-09
562879870.48571,4962354636370.248,3311280134573.5903,1651074501796.6584,6474.009402034783,3228.0783907363207,4.168227735007778e+37,2.0783667497945522e+37,6.24659448480233e+37,-1.0671285643751193e+38,-4.424691158948863e+37,1.0811704415270646e-05,5.390945119572152e-06,1.62026495348428e-05,1.9551379342504564e-09,1.955137934250457e-09
572107409.3461314,4995229287910.157,3333216732933.0244,1662012554977.1335,6437.5131425519185,3209.8805817337093,4.121364679549577e+37,2.0549998364562818e+37,6.176364516005859e+37,-1.060105567495472e+38,-4.424691158948863e+37,1.0669864506926089e-05,5.320220733084981e-06,1.599008524001107e-05,1.931321500623605e-09,1.931321500623605e-09
581334948.206553,5028112508715.473,3355159049392.1084,1672953459323.365,6401.280701860464,3191.8143183756492,4.075102445357914e+37,2.0319325053439187e+37,6.107034950701833e+37,-1.0531726109650694e+38,-4.424691158948863e+37,1.0530761723727236e-05,5.250861135245293e-06,1.578162285897253e-05,1.907891878633967e-09,1.9078918786339673e-09
590562487.0669744,5060995343342.594,3377101108162.1963,1683894235180.3982,6365.3172787682415,3173.8821928979773,4.029441910705891e+37,2.0091651943830575e+37,6.038607105088948e+37,-1.046329826403781e+38,-4.424691158948863e+37,1.0394363120251806e-05,5.182849898766819e-06,1.5577213019018627e-05,1.8848465221795564e-09,1.8848465221795564e-09
